1786893053.134,0.51,0.32,191.00,0.52,0.37,0.31,0.34
1786893053.627,0.48,0.39,200.88,0.52,0.34,0.29,0.33
1786893054.131,0.61,0.38,200.88,0.49,0.49,0.27,0.29
1786893054.635,0.46,0.38,205.23,0.48,0.33,0.28,0.35
1786893055.143,0.49,0.38,207.80,0.51,0.31,0.29,0.28
1786893055.654,0.48,0.31,191.40,0.43,0.27,0.26,0.29
1786893056.148,0.79,0.38,199.80,0.51,0.34,0.29,0.27
1786893056.651,0.50,0.49,190.91,0.59,0.39,0.38,0.33
1786893057.146,0.53,0.36,195.19,0.41,0.32,0.26,0.33
1786893057.649,0.45,0.46,193.74,0.52,0.33,0.26,0.27
1786893058.145,0.62,0.34,206.94,0.64,0.38,0.38,0.40
1786893058.656,0.60,0.31,198.48,0.71,0.30,0.27,0.25
1786893059.157,0.55,0.32,192.65,0.66,0.37,0.45,0.34
1786893059.653,0.60,0.31,200.46,0.48,0.31,0.25,0.24
1786893060.157,0.60,0.33,205.56,0.41,0.27,0.27,0.24
1786893060.665,0.48,0.35,191.12,0.62,0.37,0.27,0.31
1786893061.159,0.55,0.36,204.64,0.64,0.30,0.26,0.34
1786893061.667,0.49,0.36,202.42,0.55,0.33,0.24,0.29
1786893062.172,0.57,0.33,208.86,0.50,0.30,0.25,0.29
1786893062.683,0.51,0.34,191.70,0.50,0.30,0.30,0.29
1786893063.180,0.51,0.36,190.99,0.41,0.30,0.42,0.28
1786893063.674,0.50,0.35,195.66,0.92,0.74,0.90,0.59
1786893064.174,0.51,0.32,193.96,0.51,0.32,0.29,0.26
1786893064.677,0.46,0.30,206.73,0.53,0.28,0.29,0.26
1786893065.186,0.52,0.30,206.25,0.42,0.40,0.62,0.49
1786893065.696,0.48,0.45,194.92,0.46,0.33,0.29,0.27
1786893066.195,0.50,0.36,192.86,0.45,0.35,0.28,0.41
1786893066.691,0.50,0.36,207.79,0.48,0.51,0.46,0.31
1786893067.203,0.50,0.33,203.24,0.62,0.48,0.30,0.33
1786893067.710,0.54,0.32,199.51,0.48,0.30,0.26,0.27
1786893068.212,0.66,0.39,193.67,0.51,0.30,0.31,0.44
1786893068.709,0.91,0.49,203.32,0.58,0.48,0.37,0.38
1786893069.216,0.60,0.34,210.00,0.43,0.34,0.27,0.28
1786893069.728,0.46,0.30,200.94,0.46,0.31,0.30,0.28
1786893070.232,0.50,0.28,199.54,0.52,0.35,0.30,0.26
1786893070.735,0.52,0.31,209.42,0.62,0.56,0.46,0.53
1786893071.248,0.79,0.50,195.04,0.57,0.28,0.27,0.26
1786893071.749,0.48,0.32,200.17,0.55,0.36,0.30,0.30
1786893072.252,0.47,0.34,190.55,0.49,0.38,0.31,0.28
1786893072.745,0.46,0.43,195.07,0.46,0.31,0.30,0.33
1786893073.243,0.50,0.35,206.15,0.48,0.34,0.29,0.32
1786893073.752,0.55,0.37,202.88,0.45,0.31,0.29,0.25
1786893074.258,0.50,0.35,206.56,0.49,0.31,0.32,0.36
1786893074.770,0.45,0.28,204.53,0.41,0.35,0.28,0.25
1786893075.277,0.59,0.31,208.13,0.46,0.34,0.30,0.28
1786893075.788,0.51,0.33,204.51,0.45,0.29,0.36,0.27
1786893076.296,0.43,0.33,206.22,0.46,0.32,0.42,0.47
1786893076.805,0.50,0.31,210.01,0.52,0.33,0.42,0.37
1786893077.320,0.62,0.67,203.67,0.43,0.32,0.31,0.28
1786893077.827,0.55,0.41,203.74,0.49,0.53,0.31,0.26
1786893078.333,0.59,0.34,208.38,0.60,0.36,0.30,0.35
1786893078.845,0.54,0.36,192.46,0.60,0.32,0.31,0.30
1786893079.340,0.50,0.31,203.88,0.57,0.42,0.38,0.37
1786893079.848,0.59,0.44,204.40,0.43,0.30,0.30,0.32
1786893080.355,0.53,0.32,204.60,0.44,0.30,0.32,0.28
