rho,seed,empirical_gap,theoretical_gap,mse_bayes,mse_memoryless
0.2,4,0.035625325561887244,0.04166666666666668,0.9835689372718823,1.0191942628337696
0.2,5,0.050779627450538545,0.04166666666666668,1.0146732723094687,1.0654528997600072
0.2,6,0.04195472953139201,0.04166666666666668,1.0027058219651035,1.0446605514964955
0.2,7,0.04622190658990222,0.04166666666666668,0.9881379855592608,1.034359892149163
0.2,8,0.030571217473279955,0.04166666666666668,1.0154684584303053,1.0460396759035853
0.2,9,0.04504454380613221,0.04166666666666668,1.028853243400904,1.073897787207036
0.2,10,0.038563815580776706,0.04166666666666668,0.989622412594294,1.0281862281750707
0.2,11,0.045990723739977035,0.04166666666666668,0.9995226943700966,1.0455134181100736
0.2,12,0.043430780078334785,0.04166666666666668,0.9917774575089994,1.0352082375873342
0.2,13,0.049073262100642445,0.04166666666666668,1.01128360172646,1.0603568638271024
0.2,14,0.03717774255538653,0.04166666666666668,0.9922734181672226,1.0294511607226091
0.2,15,0.04448334598194259,0.04166666666666668,0.9999486669134531,1.0444320128953957
0.2,16,0.04313705010147828,0.04166666666666668,0.9972239352726435,1.0403609853741218
0.2,17,0.04218060915396471,0.04166666666666668,1.0026147088230641,1.0447953179770288
0.2,18,0.044730002717498385,0.04166666666666668,1.0289653830234704,1.0736953857409688
0.2,19,0.04394074156410932,0.04166666666666668,0.987121200438184,1.0310619420022933
0.2,20,0.048751688930300574,0.04166666666666668,1.0032969295696255,1.052048618499926
0.2,21,0.05039940039088131,0.04166666666666668,0.9739830338054617,1.024382434196343
0.2,22,0.036787204923103056,0.04166666666666668,0.9968013178700792,1.0335885227931823
0.2,23,0.05675227630471524,0.04166666666666668,1.0051306241826383,1.0618829004873536
0.2,24,0.04026550901809445,0.04166666666666668,0.9851607582909298,1.0254262673090242
0.2,25,0.036815975357012753,0.04166666666666668,1.0301948574553323,1.067010832812345
0.2,26,0.029695741563693145,0.04166666666666668,0.9991280532496956,1.0288237948133887
0.2,27,0.04608090381919128,0.04166666666666668,0.9938110815344946,1.0398919853536859
0.2,28,0.04555006654459315,0.04166666666666668,1.0009821793182854,1.0465322458628785
0.2,29,0.037533710134324494,0.04166666666666668,1.0144754151621604,1.052009125296485
0.3,0,0.09670157504774424,0.0989010989010989,0.9908340867523029,1.0875356618000471
0.3,1,0.0949364933231196,0.0989010989010989,1.001534493995344,1.0964709873184637
0.3,2,0.08570517823144486,0.0989010989010989,1.0027967024949218,1.0885018807263667
0.3,3,0.10693083001115045,0.0989010989010989,1.0102986668711997,1.1172294968823502
0.3,4,0.09051972212521231,0.0989010989010989,0.9835689372718823,1.0740886593970946
0.3,5,0.11340432821693525,0.0989010989010989,1.0146732723094685,1.1280776005264037
0.3,6,0.10040918495014162,0.0989010989010989,1.0027058219651033,1.1031150069152449
0.3,7,0.10643387076731814,0.0989010989010989,0.9881379855592608,1.094571856326579
0.3,8,0.08339989981515905,0.0989010989010989,1.0154684584303053,1.0988683582454644
0.3,9,0.10514320811950895,0.0989010989010989,1.028853243400904,1.1339964515204128
0.3,10,0.09378419490371026,0.0989010989010989,0.989622412594294,1.0834066074980042
0.3,11,0.10681700452853526,0.0989010989010989,0.9995226943700966,1.1063396988986318
0.3,12,0.10147023934389965,0.0989010989010989,0.9917774575089994,1.093247696852899
0.3,13,0.11067630339861534,0.0989010989010989,1.01128360172646,1.1219599051250753
0.3,14,0.09259089758400951,0.0989010989010989,0.9922734181672226,1.084864315751232
0.3,15,0.10402280451310786,0.0989010989010989,0.9999486669134531,1.103971471426561
0.3,16,0.10075687464202265,0.0989010989010989,0.9972239352726435,1.0979808099146662
0.3,17,0.10080658149920252,0.0989010989010989,1.0026147088230641,1.1034212903222667
0.3,18,0.10452787627115079,0.0989010989010989,1.0289653830234702,1.133493259294621
0.3,19,0.1015289973499367,0.0989010989010989,0.987121200438184,1.0886501977881207
0.3,20,0.11107750096780711,0.0989010989010989,1.0032969295696255,1.1143744305374326
0.3,21,0.11122153028646153,0.0989010989010989,0.9739830338054617,1.0852045640919232
0.3,22,0.09138718402485257,0.0989010989010989,0.9968013178700792,1.0881885018949318
0.3,23,0.12447102029795909,0.0989010989010989,1.005130624182638,1.1296016444805972
0.3,24,0.09456769877369597,0.0989010989010989,0.9851607582909298,1.0797284570646257
0.3,25,0.09401442658699533,0.0989010989010989,1.0301948574553323,1.1242092840423277
0.3,26,0.07974042099783407,0.0989010989010989,0.9991280532496956,1.0788684742475296
0.3,27,0.10651933940204061,0.0989010989010989,0.9938110815344946,1.1003304209365352
0.3,28,0.10815694926042108,0.0989010989010989,1.0009821793182854,1.1091391285787064
0.3,29,0.09178874827695216,0.0989010989010989,1.0144754151621604,1.1062641634391126
0.4,0,0.18709035839165766,0.19047619047619052,0.9908340867523029,1.1779244451439606
0.4,1,0.18509224160808313,0.19047619047619052,1.001534493995344,1.1866267356034272
0.4,2,0.17073949916981124,0.19047619047619052,1.0027967024949218,1.173536201664733
0.4,3,0.202733682513204,0.19047619047619052,1.0102986668711997,1.2130323493844037
0.4,4,0.1801295540571467,0.19047619047619052,0.9835689372718822,1.163698491329029
0.4,5,0.2119104835443013,0.19047619047619052,1.0146732723094687,1.22658375585377
0.4,6,0.19409581064733117,0.19047619047619052,1.0027058219651033,1.1968016326124344
0.4,7,0.20209314508478926,0.19047619047619052,0.9881379855592608,1.19023113064405
0.4,8,0.17153297830803216,0.19047619047619052,1.0154684584303053,1.1870014367383375
0.4,9,0.20060464375343412,0.19047619047619052,1.028853243400904,1.229457887154338
0.4,10,0.1829642572748894,0.19047619047619052,0.989622412594294,1.1725866698691834
0.4,11,0.2041020652210408,0.19047619047619052,0.9995226943700966,1.2036247595911373
0.4,12,0.19392863190342824,0.19047619047619052,0.9917774575089994,1.1857060894124276
0.4,13,0.2074037590790081,0.19047619047619052,1.01128360172646,1.218687360805468
0.4,14,0.18297438236452845,0.19047619047619052,0.9922734181672226,1.175247800531751
0.4,15,0.19871321609127957,0.19047619047619052,0.9999486669134531,1.1986618830047326
0.4,16,0.1923353988572427,0.19047619047619052,0.9972239352726435,1.1895593341298862
0.4,17,0.1955645258273624,0.19047619047619052,1.0026147088230641,1.1981792346504265
0.4,18,0.19983631283742653,0.19047619047619052,1.0289653830234704,1.228801695860897
0.4,19,0.19277893965158754,0.19047619047619052,0.987121200438184,1.1799001400897715
0.4,20,0.2094692083144778,0.19047619047619052,1.0032969295696255,1.2127661378841033
0.4,21,0.20591680490471698,0.19047619047619052,0.9739830338054617,1.1798998387101787
0.4,22,0.18000979247300508,0.19047619047619052,0.9968013178700792,1.1768111103430843
0.4,23,0.2292991295022293,0.19047619047619052,1.005130624182638,1.2344297536848674
0.4,24,0.1808855559350343,0.19047619047619052,0.9851607582909298,1.166046314225964
0.4,25,0.187432188264252,0.19047619047619052,1.0301948574553323,1.2176270457195844
0.4,26,0.1616740989384553,0.19047619047619052,0.9991280532496956,1.1608021521881509
0.4,27,0.2021357651448391,0.19047619047619052,0.9938110815344946,1.1959468466793337
0.4,28,0.20888530951630901,0.19047619047619052,1.0009821793182851,1.2098674888345942
0.4,29,0.17947113137707293,0.19047619047619052,1.0144754151621604,1.1939465465392334
0.5,0,0.3277673784837778,0.3333333333333333,0.9908340867523029,1.3186014652360807
0.5,1,0.32648298063572345,0.3333333333333333,1.001534493995344,1.3280174746310676
0.5,2,0.30407532191522635,0.3333333333333333,1.0027967024949218,1.3068720244101482
0.5,3,0.35184309124540847,0.3333333333333333,1.0102986668711997,1.3621417581166082
0.5,4,0.32156442663196383,0.3333333333333333,0.9835689372718822,1.305133363903846
0.5,5,0.36456574012266274,0.3333333333333333,1.0146732723094687,1.3792390124321314
0.5,6,0.3402351209738277,0.3333333333333333,1.0027058219651033,1.342940942938931
0.5,7,0.35134098685412096,0.3333333333333333,0.9881379855592608,1.3394789724133818
