seed,tau,alpha
14,1.0,4.011348443515383
15,0.0,1.9085620330844013
15,0.05,1.8479036264694517
15,0.1,1.8421617541871882
15,0.2,2.217753887927321
15,0.3,2.6177018633039912
15,0.5,3.452699002529853
15,0.8,3.843682327089697
15,1.0,4.151819319156681
16,0.0,1.9095210145880521
16,0.05,1.8259953326075264
16,0.1,1.9019385095507675
16,0.2,2.126051372582763
16,0.3,2.6873465721549565
16,0.5,3.1543212654371486
16,0.8,4.154344088823227
16,1.0,4.226856968541791
17,0.0,1.7221690399947067
17,0.05,1.7909393953050616
17,0.1,1.7930428161416794
17,0.2,2.1218434469216794
17,0.3,2.464324814102346
17,0.5,3.456162036947756
17,0.8,4.011833180842925
17,1.0,4.321062468003048
18,0.0,1.9088406025622877
18,0.05,1.8505053511136695
18,0.1,1.8225004480536444
18,0.2,2.2103541674960607
18,0.3,2.5218199474926304
18,0.5,3.1673321512519874
18,0.8,3.7463692871070595
18,1.0,4.178842505521145
19,0.0,1.9340845468699173
19,0.05,1.981087655905342
19,0.1,1.9691537791131917
19,0.2,2.279430360976076
19,0.3,2.561366653161789
19,0.5,3.3968852593754955
19,0.8,3.980312173054151
19,1.0,4.1582957181290645
20,0.0,1.8398487636399141
20,0.05,1.8580875788707636
20,0.1,1.8900012553337975
20,0.2,2.0890733874950214
20,0.3,2.6093876176789506
20,0.5,3.385652223701407
20,0.8,4.016584376003862
20,1.0,3.913042346547471
21,0.0,1.795421352220064
21,0.05,1.9328720267341812
21,0.1,1.9347695900060184
21,0.2,2.0575832425718477
21,0.3,2.642176837476041
21,0.5,3.6009802372433093
21,0.8,4.071103870794375
21,1.0,4.133892071601905
22,0.0,1.920062420606545
22,0.05,1.9309965181119046
22,0.1,1.8986028350773498
22,0.2,2.0338344004797397
22,0.3,2.662958795590192
22,0.5,3.4529069259650047
22,0.8,3.9063079654469464
22,1.0,4.012171638458997
23,0.0,1.8885338952831225
23,0.05,1.9323507500833417
23,0.1,1.9019063297984613
23,0.2,2.129571486622054
23,0.3,2.703686778540208
23,0.5,3.321254573785088
23,0.8,4.097664850064958
23,1.0,4.1919523360981525
24,0.0,1.8927066502681318
24,0.05,1.9382075283681282
24,0.1,1.8922626153978253
24,0.2,2.2409846672390255
24,0.3,2.64633885055128
24,0.5,3.341807416225912
24,0.8,4.015046490826216
24,1.0,4.535098424092852
25,0.0,1.8233432188668648
25,0.05,1.8937922641235725
25,0.1,1.948663440518314
25,0.2,2.1755018238382284
25,0.3,2.6149804855009515
25,0.5,3.3894813167620126
25,0.8,3.9089903559533123
25,1.0,4.464608556379988
26,0.0,1.867827938528769
26,0.05,1.8932476519997896
26,0.1,1.8378652364495156
26,0.2,2.127858092469934
26,0.3,2.5649325753573895
26,0.5,3.1834793790991576
26,0.8,3.9097734118580925
26,1.0,3.9482889927063916
27,0.0,1.8432902555933095
27,0.05,1.7881844259279775
27,0.1,1.8413815820294583
27,0.2,2.0855889983998015
27,0.3,2.625630075761408
27,0.5,3.3807676861600844
27,0.8,3.735485166986831
27,1.0,3.7599466630836544
28,0.0,1.8168798824741985
28,0.05,1.785239302724384
28,0.1,1.8499215552664479
28,0.2,2.1611885787772245
28,0.3,2.667717759207766
28,0.5,3.3052960353959095
28,0.8,4.046500466017065
28,1.0,4.21130579906151
29,0.0,1.9148785914725714
29,0.05,1.8839174806060328
29,0.1,1.9659779135070152
29,0.2,2.3188748902940834
29,0.3,2.627615047991955
29,0.5,3.159617106626935
29,0.8,3.966776219359555
29,1.0,4.0754586217879
30,0.0,1.8518650264375007
30,0.05,1.9238964759956485
30,0.1,1.8346653630683074
30,0.2,2.0829486429224424
30,0.3,2.686267659336159
30,0.5,3.143664626565529
30,0.8,3.7232279246811055
30,1.0,4.110985977436881
31,0.0,1.880303856093345
31,0.05,1.842230263131739
31,0.1,1.8481327824503215
31,0.2,2.2309470243311345
31,0.3,2.5884831399570274
31,0.5,3.3187938967802744
31,0.8,3.9120893040529636
31,1.0,3.8284843050923865
32,0.0,1.800576078635104
32,0.05,1.900060104941707
32,0.1,1.866850913527969
32,0.2,2.2327509427103314
32,0.3,2.712935155894632
32,0.5,3.58092194482028
32,0.8,4.382750478491698
32,1.0,4.251256427164362
33,0.0,1.9521818134106141
33,0.05,1.9160925346926456
33,0.1,1.941697446316622
33,0.2,2.184480137991334
33,0.3,2.7088710622537295
33,0.5,3.296024171107478
33,0.8,4.300059848267998
33,1.0,4.378140181022767
34,0.0,1.8607212267722977
34,0.05,1.8364286007552846
34,0.1,1.8540793752020073
34,0.2,2.0705302704953774
34,0.3,2.377996074643174
34,0.5,3.1281417395492355
34,0.8,4.122308911747232
34,1.0,3.9361062277544807
35,0.0,1.936590628270333
35,0.05,1.9094140513792675
35,0.1,1.9035354460434866
35,0.2,2.337528666604325
35,0.3,2.9590563402374492
35,0.5,3.500621957481673
35,0.8,4.162257200709437
35,1.0,4.6745176485282105
36,0.0,1.87918729708484
