epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.3,False,37,True,4.6000000000000005,3.0000000000000004
0.3,False,38,True,4.6000000000000005,3.0000000000000004
0.3,False,39,True,4.6000000000000005,3.0000000000000004
0.3,False,40,True,4.6000000000000005,3.0000000000000004
0.3,False,41,True,4.6000000000000005,3.0000000000000004
0.3,False,42,True,4.6000000000000005,3.0000000000000004
0.3,False,43,True,4.6000000000000005,3.0000000000000004
0.3,False,44,True,4.6000000000000005,3.0000000000000004
0.3,False,45,True,4.6000000000000005,3.0000000000000004
0.3,False,46,True,4.6000000000000005,3.0000000000000004
0.3,False,47,True,4.6000000000000005,3.0000000000000004
0.3,False,48,True,4.6000000000000005,3.0000000000000004
0.3,False,49,True,4.6000000000000005,3.0000000000000004
0.3,False,50,True,4.6000000000000005,3.0000000000000004
0.3,False,51,True,4.6000000000000005,3.0000000000000004
0.3,False,52,True,4.6000000000000005,3.0000000000000004
0.3,False,53,True,4.6000000000000005,3.0000000000000004
0.3,False,54,True,4.6000000000000005,3.0000000000000004
0.3,False,55,True,4.6000000000000005,3.0000000000000004
0.3,False,56,True,4.6000000000000005,3.0000000000000004
0.3,False,57,True,4.6000000000000005,3.0000000000000004
0.3,False,58,True,4.6000000000000005,3.0000000000000004
0.3,False,59,True,4.6000000000000005,3.0000000000000004
0.3,False,60,True,4.6000000000000005,3.0000000000000004
0.3,False,61,True,4.6000000000000005,3.0000000000000004
0.3,False,62,True,4.6000000000000005,3.0000000000000004
0.3,False,63,True,4.6000000000000005,3.0000000000000004
0.3,False,64,True,4.6000000000000005,3.0000000000000004
0.3,False,65,True,4.6000000000000005,3.0000000000000004
0.3,False,66,True,4.6000000000000005,3.0000000000000004
0.3,False,67,True,4.6000000000000005,3.0000000000000004
0.3,False,68,True,4.6000000000000005,3.0000000000000004
0.3,False,69,True,4.6000000000000005,3.0000000000000004
0.3,False,70,True,4.6000000000000005,3.0000000000000004
0.3,False,71,True,4.6000000000000005,3.0000000000000004
0.3,False,72,True,4.6000000000000005,3.0000000000000004
0.3,False,73,True,4.6000000000000005,3.0000000000000004
0.3,False,74,True,4.6000000000000005,3.0000000000000004
0.3,False,75,True,4.6000000000000005,3.0000000000000004
0.3,False,76,True,4.6000000000000005,3.0000000000000004
0.3,False,77,True,4.6000000000000005,3.0000000000000004
0.3,False,78,True,4.6000000000000005,3.0000000000000004
0.3,False,79,True,4.6000000000000005,3.0000000000000004
0.3,False,80,True,4.6000000000000005,3.0000000000000004
