seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
1,s1_guarded,85,1789364919.647907464,1789364938.771494290,5,1,0
1,s1_guarded,86,1789364952.375032114,1789364971.531243162,1,5,0
1,s1_guarded,87,1789364985.186748876,1789365004.188168368,5,1,0
1,s1_guarded,88,1789365017.658976384,1789365036.535871011,1,4,0
1,s1_guarded,89,1789365050.090409279,1789365069.269897698,4,2,0
1,s1_guarded,90,1789365083.104975902,1789365102.171346800,2,4,0
1,s1_guarded,91,1789365115.698354696,1789365134.765102469,4,2,0
1,s1_guarded,92,1789365148.397965008,1789365167.546636222,2,4,0
1,s1_guarded,93,1789365181.059162990,1789365200.083594593,4,2,0
1,s1_guarded,94,1789365213.810707837,1789365232.692873982,2,5,0
1,s1_guarded,95,1789365246.093256173,1789365264.953453685,5,4,0
1,s1_guarded,96,1789365278.298276668,1789365297.146616966,4,5,0
1,s1_guarded,97,1789365310.574057520,1789365329.365578597,5,2,0
1,s1_guarded,98,1789365342.683984233,1789365361.959241966,2,4,0
1,s1_guarded,99,1789365375.349813396,1789365394.518616575,4,1,0
1,s1_guarded,100,1789365407.831739080,1789365426.973773476,1,4,0
2,s2_guarded,1,1789365696.508861171,1789365716.127033182,4,2,0
2,s2_guarded,2,1789365734.421146096,1789365753.527389964,2,4,0
2,s2_guarded,3,1789365772.155423663,1789365791.228049291,4,1,0
2,s2_guarded,4,1789365810.136334516,1789365829.370894876,1,4,0
2,s2_guarded,5,1789365847.781626510,1789365867.006185566,4,2,0
2,s2_guarded,6,1789365885.556704911,1789365904.739569268,2,4,0
2,s2_guarded,7,1789365923.395190968,1789365942.524027554,4,2,0
2,s2_guarded,8,1789365961.365918201,1789365980.649362633,2,1,0
2,s2_guarded,9,1789365999.689562976,1789366018.917949192,1,5,0
2,s2_guarded,10,1789366037.543418947,1789366056.721851413,5,2,0
2,s2_guarded,11,1789366075.412985033,1789366094.653884586,2,5,0
2,s2_guarded,12,1789366113.337283188,1789366132.653515096,5,1,0
2,s2_guarded,13,1789366151.796793487,1789366171.268676503,1,4,0
2,s2_guarded,14,1789366190.025742133,1789366209.381275181,4,2,0
2,s2_guarded,15,1789366228.299216307,1789366247.779167207,2,5,0
2,s2_guarded,16,1789366266.698272881,1789366286.560010276,5,1,0
2,s2_guarded,17,1789366306.314626789,1789366325.892964231,1,2,0
2,s2_guarded,18,1789366344.987985392,1789366364.468432042,2,1,0
2,s2_guarded,19,1789366384.018042678,1789366403.615856551,1,2,0
2,s2_guarded,20,1789366423.296895163,1789366443.595376105,2,1,0
2,s2_guarded,21,1789366463.538944882,1789366483.262083612,1,5,0
2,s2_guarded,22,1789366502.767837283,1789366522.501474033,5,1,0
2,s2_guarded,23,1789366542.834089756,1789366564.418447331,1,4,0
2,s2_guarded,24,1789366584.129645353,1789366604.969526234,4,2,0
2,s2_guarded,25,1789366624.685916352,1789366644.850911287,2,5,0
2,s2_guarded,26,1789366664.655437148,1789366685.113027814,5,2,0
2,s2_guarded,27,1789366704.708833266,1789366724.866536252,2,1,0
2,s2_guarded,28,1789366748.822655081,1789366772.932374217,1,4,0
2,s2_guarded,29,1789366797.337950085,1789366818.525905664,4,2,0
2,s2_guarded,30,1789366838.346464740,1789366858.198786456,2,4,0
2,s2_guarded,31,1789366878.221342893,1789366897.982104145,4,2,0
2,s2_guarded,32,1789366918.096089979,1789366941.168972333,2,5,0
2,s2_guarded,33,1789366961.350361859,1789366981.241842165,5,1,0
2,s2_guarded,34,1789367001.904046042,1789367021.789259297,1,2,0
2,s2_guarded,35,1789367041.715714296,1789367061.484135743,2,1,0
2,s2_guarded,36,1789367082.120252508,1789367102.223243983,1,5,0
2,s2_guarded,37,1789367122.288472444,1789367142.309656852,5,2,0
2,s2_guarded,38,1789367162.719837350,1789367183.162034504,2,5,0
2,s2_guarded,39,1789367203.338813751,1789367223.245770712,5,2,0
2,s2_guarded,40,1789367243.548414454,1789367263.576678281,2,5,0
2,s2_guarded,41,1789367283.764324820,1789367306.621513278,5,2,0
2,s2_guarded,42,1789367326.958194864,1789367347.075996327,2,1,0
2,s2_guarded,43,1789367368.291005760,1789367388.531774308,1,4,0
2,s2_guarded,44,1789367409.436523075,1789367429.799056421,4,1,0
2,s2_guarded,45,1789367451.001190448,1789367471.085187753,1,4,0
2,s2_guarded,46,1789367491.412042307,1789367512.288940064,4,5,0
2,s2_guarded,47,1789367532.903880316,1789367553.034796917,5,4,0
2,s2_guarded,48,1789367573.501512223,1789367593.456130133,4,2,0
2,s2_guarded,49,1789367614.126766164,1789367634.359296149,2,1,0
2,s2_guarded,50,1789367655.539284455,1789367676.132375424,1,5,0
2,s2_guarded,51,1789367697.018891990,1789367717.206361455,5,2,0
2,s2_guarded,52,1789367737.566762240,1789367757.846017155,2,1,0
2,s2_guarded,53,1789367779.543952021,1789367803.898245242,1,4,0
2,s2_guarded,54,1789367824.725348423,1789367846.678905249,4,2,0
