loss,jitter,seed,failover_van,failover_ai,storm_rate_van,storm_rate_ai
0.0,5.0,23,258.0591353122204,154.67697155288425,0.0,0.0
0.0,5.0,24,260.8386208818157,144.6539911203387,0.0,0.0
0.0,5.0,25,271.25850652579186,151.58823999646648,0.0,0.0
0.0,5.0,26,256.60684740196234,144.86977868624166,0.0,0.0
0.0,5.0,27,261.26067170335904,145.8287558485132,0.0,0.0
0.0,5.0,28,270.74680365184156,148.987891881155,0.0,0.0
0.0,5.0,29,255.65002033042396,148.27710102380607,0.0,0.0
0.0,10.0,0,269.1470059394751,149.4900797770341,0.0,0.0
0.0,10.0,1,261.1738775731494,146.22550681879602,0.0,0.0
0.0,10.0,2,249.3192591204388,150.34013909874875,0.0,0.0
0.0,10.0,3,272.73446015106003,148.1415738028284,0.0,0.0
0.0,10.0,4,264.1258697827513,147.84140616308227,0.0,0.0
0.0,10.0,5,261.2798170765104,148.27680454717452,0.0,0.0
0.0,10.0,6,271.09462452333776,150.19122987015749,0.0,0.0
0.0,10.0,7,263.7890971387483,144.42092913195685,0.0,0.0
0.0,10.0,8,258.663033462056,147.62912859960795,0.0,0.0
0.0,10.0,9,265.72252990800104,147.63242503514397,0.0,0.0
0.0,10.0,10,256.9134935480158,143.22227749013229,0.0,0.0
0.0,10.0,11,258.9264525814144,140.404518705486,0.0,0.0
0.0,10.0,12,262.954493319454,145.38727032665759,0.0,0.0
0.0,10.0,13,257.84819485919417,146.39808279725543,0.0,0.0
0.0,10.0,14,267.34511922760555,145.17809777044616,0.0,0.0
0.0,10.0,15,261.8333621661813,146.96775150894294,0.0,0.0
0.0,10.0,16,255.0381274776693,144.6849181059689,0.0,0.0
0.0,10.0,17,249.41040082596083,141.05422745072195,0.0,0.0
0.0,10.0,18,270.4312213769071,135.51834396774927,0.0,0.0
0.0,10.0,19,261.83137283892535,148.20288077758033,0.0,0.0
0.0,10.0,20,266.3430762830724,143.8979534569752,0.0,0.0
0.0,10.0,21,265.17498612205463,146.8756402792751,0.0,0.0
0.0,10.0,22,255.66198316466247,145.5038201036905,0.0,0.0
0.0,10.0,23,258.89066277714335,154.89127818143058,0.0,0.0
0.0,10.0,24,263.31065040184365,144.25886702344815,0.0,0.0
0.0,10.0,25,268.499585963154,151.45757875051407,0.0,0.0
0.0,10.0,26,254.94465522667434,144.76052136923516,0.0,0.0
0.0,10.0,27,264.4728433353082,146.40584430270874,0.0,0.0
0.0,10.0,28,270.73623293426306,148.40947496710498,0.0,0.0
0.0,10.0,29,261.35535002160384,147.99893915853113,0.0,0.0
0.0,20.0,0,271.26057814438093,147.3560099011759,0.0,0.0
0.0,20.0,1,260.04232107719474,147.78778566972903,0.0,0.0
0.0,20.0,2,254.32526415808897,149.19740052082756,0.0,0.0
0.0,20.0,3,274.94952234733034,146.92194704209095,0.0,0.0
0.0,20.0,4,264.15683690904524,148.20516415181038,0.0,0.0
0.0,20.0,5,267.61478345266835,146.7611863462521,0.0,0.0
0.0,20.0,6,269.5351712071389,151.8694078526766,0.0,0.0
0.0,20.0,7,263.73393305439845,143.23612343383837,0.0,0.0
0.0,20.0,8,258.46843173874515,149.74456100277632,0.0,0.0
0.0,20.0,9,264.3184505761046,147.45349969641217,0.0,0.0
0.0,20.0,10,259.6187842035555,144.01252429449903,0.0,0.0
0.0,20.0,11,255.51323969519134,139.17514758164145,0.0,0.0
0.0,20.0,12,257.13743249659916,145.5261249059626,0.0,0.0
0.0,20.0,13,257.5687988601149,148.60616072098273,0.0,0.0
0.0,20.0,14,269.2075691721548,144.53360409163918,0.0,0.0
0.0,20.0,15,257.65292091592084,149.16431337238862,0.0,0.0
0.0,20.0,16,254.82374918609725,147.33203399676398,0.0,0.0
0.0,20.0,17,252.4607448599285,143.41565752860328,0.0,0.0
0.0,20.0,18,266.6296503117371,137.39195533278848,0.0,0.0
0.0,20.0,19,263.4293800025042,149.15645346613732,0.0,0.0
0.0,20.0,20,264.7418192062059,145.58540206459725,0.0,0.0
0.0,20.0,21,265.8299211229064,146.25459040595553,0.0,0.0
0.0,20.0,22,250.57757470553273,144.5446252978099,0.0,0.0
0.0,20.0,23,260.489831271921,152.66247553654884,0.0,0.0
0.0,20.0,24,260.47661230139835,146.50162919387014,0.0,0.0
0.0,20.0,25,273.26135413386083,151.01511121316764,0.0,0.0
0.0,20.0,26,255.81910267839277,146.84895146057835,0.0,0.0
0.0,20.0,27,267.075466434262,149.69042542026767,0.0,0.0
0.0,20.0,28,268.8836253995979,147.045470019631,0.0,0.0
0.0,20.0,29,258.11771626100665,148.57417938500876,0.0,0.0
0.0,30.0,0,272.5124128497892,146.76653990140238,0.0,0.0
0.0,30.0,1,258.39145359151087,146.68915996608575,0.0,0.0
0.0,30.0,2,257.14431361289996,146.8945421717362,0.0,0.0
0.0,30.0,3,271.48946293760133,144.3475287495158,0.0,0.0
0.0,30.0,4,265.160844628321,150.1641740736615,0.0,0.0
0.0,30.0,5,271.5360995903951,144.54103302595513,0.0,0.0
0.0,30.0,6,263.4937625586259,149.78281109264032,0.0,0.0
0.0,30.0,7,261.7054597176654,144.2008145744892,0.0,0.0
0.0,30.0,8,260.76278951185543,151.14877021196497,0.0,0.0
0.0,30.0,9,266.42247555493043,147.92594921655024,0.0,0.0
0.0,30.0,10,262.3890173986847,146.68817974356506,0.0,0.0
0.0,30.0,11,252.5607786733873,136.97505019442417,0.0,0.0
0.0,30.0,12,257.108147825574,144.09330155451016,0.0,0.0
0.0,30.0,13,259.3295280470147,145.34320329021926,0.0,0.0
0.0,30.0,14,266.17054979860063,141.33453248031185,0.0,0.0
