# start rate=10 seed=6 dur=420 n=7 target=3 events=41
205.7 fp=[4] true=[3] merged=[3, 4]
206.0 fp=[4] true=[3] merged=[3, 4]
206.3 fp=[4] true=[3] merged=[3, 4]
206.6 fp=[4] true=[3] merged=[3, 4]
207.0 fp=[4] true=[3] merged=[3, 4]
207.3 fp=[4] true=[3] merged=[3, 4]
207.6 fp=[4] true=[3] merged=[3, 4]
207.9 fp=[4] true=[3] merged=[3, 4]
208.2 fp=[4] true=[3] merged=[3, 4]
208.5 fp=[4] true=[3] merged=[3, 4]
208.8 fp=[4] true=[3] merged=[3, 4]
209.1 fp=[4] true=[3] merged=[3, 4]
209.4 fp=[4] true=[3] merged=[3, 4]
209.7 fp=[4] true=[3] merged=[3, 4]
210.1 fp=[4] true=[3] merged=[3, 4]
210.4 fp=[4] true=[3] merged=[3, 4]
210.7 fp=[4] true=[3] merged=[3, 4]
211.0 fp=[4] true=[3] merged=[3, 4]
211.3 fp=[4] true=[3] merged=[3, 4]
211.6 fp=[4] true=[3] merged=[3, 4]
211.9 fp=[4] true=[3] merged=[3, 4]
212.3 fp=[4] true=[3] merged=[3, 4]
212.6 fp=[4] true=[3] merged=[3, 4]
212.9 fp=[4] true=[3] merged=[3, 4]
213.2 fp=[4] true=[3] merged=[3, 4]
213.5 fp=[4] true=[3] merged=[3, 4]
213.8 fp=[4] true=[3] merged=[3, 4]
214.1 fp=[4] true=[3] merged=[3, 4]
214.4 fp=[4] true=[3] merged=[3, 4]
214.8 fp=[4] true=[3] merged=[3, 4]
215.1 fp=[4] true=[3] merged=[3, 4]
215.4 fp=[4] true=[3] merged=[3, 4]
215.7 fp=[4] true=[3] merged=[3, 4]
216.0 fp=[4] true=[3] merged=[3, 4]
216.3 fp=[4] true=[3] merged=[3, 4]
216.6 fp=[4] true=[3] merged=[3, 4]
216.9 fp=[4] true=[3] merged=[3, 4]
217.2 fp=[1] true=[3] merged=[1, 3]
217.5 fp=[1] true=[3] merged=[1, 3]
217.9 fp=[1] true=[3] merged=[1, 3]
218.2 fp=[1] true=[3] merged=[1, 3]
218.5 fp=[1] true=[3] merged=[1, 3]
218.8 fp=[1] true=[3] merged=[1, 3]
219.1 fp=[1] true=[3] merged=[1, 3]
219.4 fp=[1] true=[3] merged=[1, 3]
219.7 fp=[1] true=[3] merged=[1, 3]
220.1 fp=[1] true=[3] merged=[1, 3]
220.4 fp=[1] true=[3] merged=[1, 3]
220.7 fp=[1] true=[3] merged=[1, 3]
